pert_id,pert_iname,mCS_homo,mCS_hetero,target_organ,OrganScore,efficacy_z,specificity,GSE92742,GSE70138,robustness,composite_score,rank
BRD-K11696279,BU-239,0.0890239712023398,-0.028732991679892263,skin,0.11775696288223207,4.071049312695728,0.11965176189400206,-0.0057677207975002,,0.5,1.814315253646492,1
BRD-K51126483,BRD-K51126483,0.0726284338223876,-0.008537170048102756,skin,0.08116560387049035,2.8260594805583614,0.08306040288226034,-0.0023955447042532,,0.5,1.3053419130880226,2
BRD-K48195008,ethinylestradiol,0.0489008549197141,-0.03193365547662074,skin,0.08083451039633484,2.8147943070326016,0.08272930940810483,-0.0150474180016804,,0.5,1.300736515635472,3
BRD-K29173907,isoflupredone-acetate,0.0547023434510686,-0.0260359176587335,skin,0.0807382611098021,2.811519507016421,0.0826330601215721,-0.0043026847760825,,0.5,1.29939772084304,4
BRD-K50177987,BRD-K50177987,0.0536125511716623,-0.02533673634377267,skin,0.07894928751543497,2.750651203813071,0.08084408652720496,-0.0154658849760548,,0.5,1.2745137074833899,5
BRD-K66359319,BRD-K66359319,0.0077870393532239,-0.07115977554505318,skin,0.07894681489827708,2.7505670751197546,0.08084161391004707,-0.06411597903621966,,0.5,1.2744793142209159,6
BRD-K18726304,BRD-K18726304,0.0443753134165496,-0.033020341056890064,skin,0.07739565447343966,2.6977901625072227,0.07929045348520965,-0.0284571567219703,,0.5,1.2529032010484518,7
BRD-K85518562,cilastatin,0.0588364307042832,-0.01811695237676469,skin,0.07695338308104789,2.682742254983583,0.07884818209281788,-0.0085187686642393,,0.5,1.2467513566212785,8
BRD-K20718732,BRD-K20718732,0.0679093565357485,-0.008873159404301572,skin,0.07678251594005008,2.676928646007748,0.07867731495182007,-0.0031087557545077,,0.5,1.244374652888645,9
BRD-A95445494,maackiain,0.0592827255374357,-0.01591246688702696,skin,0.07519519242446265,2.622921315026006,0.07708999143623264,-0.004739888025691,,0.5,1.2222955234412722,10
BRD-K11634954,GBR-13069,0.0733525978351879,-0.001345869407581533,skin,0.07469846724276943,2.6060206636898204,0.07659326625453942,0.0089579303120933,,0.5,1.21538624535229,11
BRD-K19724398,BRD-K19724398,0.0370986810211041,-0.03718506338930007,skin,0.07428374441040417,2.5919100724629605,0.07617854342217416,-0.0356385190559233,,0.5,1.2096175920118364,12
BRD-A85587465,bemesetron,0.056587664197616,-0.017003301424359303,skin,0.07359096562197531,2.5683388641009643,0.0754857646337453,-0.0051317948688742,,0.5,1.1999812750305094,13
BRD-K44575778,BRD-K44575778,0.0490135968857194,-0.02445651379182251,skin,0.07347011067754192,2.5642268775268984,0.0753649096893119,-0.0206137939121146,,0.5,1.1983002239175529,14
BRD-K12623437,BRD-K12623437,0.0750974860691719,0.002377854960536251,skin,0.07271963110863565,2.5386924492424687,0.07461443012040564,-0.0010005483460433,,0.5,1.1878613087331091,15
BRD-A39747742,estradiol-valerate,0.0535306093773647,-0.018923462476538908,skin,0.07245407185390361,2.5296570217289602,0.0743488708656736,-0.0171874944039691,,0.5,1.184167469951286,16
BRD-A62890442,3-methyl-GABA,0.0761344942397839,0.003789423697319398,skin,0.0723450705424645,2.5259483449239313,0.07423986955423449,0.006064469355427801,,0.5,1.1826512988358426,17
BRD-K34098590,tienilic-acid,0.054472394899948,-0.016829056687146658,skin,0.07130145158709465,2.4904400986288335,0.07319625059886464,-0.0044376662910236,,0.5,1.1681349146311928,18
BRD-K15588452,R-96544,0.0675260982874001,-0.002219865679762268,skin,0.06974596396716236,2.4375159568878875,0.07164076297893235,0.0043027131791548,,0.5,1.1464986116488347,19
BRD-K54687541,BRD-K54687541,0.01618046812424215,-0.05334677363229293,skin,0.06952724175653509,2.430074119917411,0.07142204076830508,-0.03988065773305485,,0.5,1.1434562601974558,20
BRD-A76941896,doxorubicin,,-0.1501271417286874,stomach,0.1501271417286874,9.029128528047458,0.14733051246174536,-0.1385051988784933,,0.5,3.805850564957507,1
